id_kpi,id_kpi_source,source_catalogue,pole_id,pole_source,intitule_du_kpi,categorie,formule_de_calcul,frequence_de_collecte,seuil_cible,unite_de_mesure,sens_performance
"KPI-001","KPI-001","Catalogue KPI","DFC","Direction Finance et Comptabilité (DFC)","Chiffre d'affaires","Financier","Volume produit x Prix unitaire HT","Hebdomadaire","100","nombre_quantite","hausse_favorable"
"KPI-002","KPI-002","Catalogue KPI","DSI","Direction du Système Informatique (DSI)","Taux de maintenance préventive réalisés","Productivité","Nbre de maintenance préventive réalisé X 100) / Nbr de maintenance préventive planifié","Mensuel","90","pourcentage","hausse_favorable"
"KPI-003","KPI-003","Catalogue KPI","DSI","Direction du Système Informatique (DSI)","Disponibilité / Accessibilité (système)","Productivité","Nombre de minutes de disponibilité des systèmes d’information X100) / Total des minutes pendant lesquelles le service est ouvert.","Hebdomadaire","98","minutes","hausse_favorable"
"KPI-004","KPI-004","Catalogue KPI","DSI","Direction du Système Informatique (DSI)","Transactions Bloquées (télécommunication)","Productivité","Nombre d’appels aboutissant à une tonalité d’occupation X100) / nombre total d’appels reçus","Hebdomadaire","98","nombre_quantite","hausse_favorable"
"KPI-005","KPI-005","Catalogue KPI","DSI","Direction du Système Informatique (DSI)","Taux de Disponibilité / Accessibilité (télécommunication)","Productivité","Nombre de minutes de disponibilité du commutateur X100) / Total des minutes pendant lesquelles le service est ouvert.","Hebdomadaire","98","pourcentage","hausse_favorable"
"KPI-006","KPI-006","Catalogue KPI","DSI","Direction du Système Informatique (DSI)","VOLUME IVR","Productivité","Nombre total de transaction éligible pour le service","Hebdomadaire","98","nombre_quantite","hausse_favorable"
"KPI-007","KPI-007","Catalogue KPI","DSI","Direction du Système Informatique (DSI)","TAUX DE FONCTIONNALITE DES SYSTEMES IVR","Satisfaction Client","Somme des temps d'indisponibilité X 100) / Temps total de disponibilité","Hebdomadaire","99","pourcentage","hausse_favorable"
"KPI-008","KPI-008","Catalogue KPI","DSI","Direction du Système Informatique (DSI)","Nombre d'incident de sécurité","Productivité","Nombre total d'incidents identifié sur le système informatique","Hebdomadaire","0","nombre_quantite","hausse_favorable"
"KPI-009","KPI-009","Catalogue KPI","DSI","Direction du Système Informatique (DSI)","Taux de traitement dans les délais","Satisfaction Client","Nbre de ticket ouvert traités dans le délais(2880min)X100 / Nbre total de ticket ouvert","Hebdomadaire","89","pourcentage","baisse_favorable"
"KPI-010","KPI-010","Catalogue KPI","DSI","Direction du Système Informatique (DSI)","MTTR","Satisfaction Client","Moyenne de temps de traitement de tous les tickets sur la periode","Hebdomadaire","60","nombre_quantite","baisse_favorable"
"KPI-011","KPI-011","Catalogue KPI","DSI","Direction du Système Informatique (DSI)","Taux d'exactitude de réparation ou solution","Satisfaction Client","Volume total de tickets ouverts - Volume de tickets réouverts)X 100 / nombre total de tickets par cartégorie","Hebdomadaire","90","pourcentage","hausse_favorable"
"KPI-012","KPI-012","Catalogue KPI","EPC","Pôle Voix du Client & EPC","Tx Exact ECC","Qualité","Tx Exact ECC=Nb transactions sans ECC X 100/Nb transactions évaluées","Hebdomadaire","95","nombre_quantite","hausse_favorable"
"KPI-013","KPI-013","Catalogue KPI","EPC","Pôle Voix du Client & EPC","Tx Exact ECA","Qualité","Tx Exact ECA=Nb transactions sans ECA X 100/Nb transactions évaluées","Hebdomadaire","90","nombre_quantite","hausse_favorable"
"KPI-014","KPI-014","Catalogue KPI","EPC","Pôle Voix du Client & EPC","Tx Exact ECCo","Qualité","Tx Exact ECCo=Nb transactions sans ECCo X 100/Nb transactions évaluées","Hebdomadaire","99.5","nombre_quantite","hausse_favorable"
"KPI-015","KPI-015","Catalogue KPI","EPC","Pôle Voix du Client & EPC","Tx Exact ENC","Qualité","Tx Exact ENC=Nb transactions sans ENC X 100/Nb transactions évaluées","Hebdomadaire","95","nombre_quantite","hausse_favorable"
"KPI-016","KPI-016","Catalogue KPI","EPC","Pôle Voix du Client & EPC","Tx défaut","Qualité","Tx défaut=Nb d'inconformité X 100/Nb transactions évaluées","Hebdomadaire","2","nombre_quantite","baisse_favorable"
"KPI-017","KPI-017","Catalogue KPI","EPC","Pôle Voix du Client & EPC","Tx per de Esc","Qualité","Tx per de Esc= Pertinence de l’escalade = Nb d’escalades incorrectes / Nb d’escalades réalisées","Hebdomadaire","98","nombre_quantite","baisse_favorable"
"KPI-018","KPI-018","Catalogue KPI","EPC","Pôle Voix du Client & EPC","VR","Qualité","VR=Echantillonnage représentatif sur le volume d’appels reçu. Calcul effectué dans la calculette COPC.","Hebdomadaire","600","nombre_quantite","hausse_favorable"
